repo_name,total_stars,today_stars,total_forks
SigNozsignoz,"2,664",493,115
godotenginegodot,"39,520",171,"7,323"
sudheerjreactjsinterviewquestions,"13,959",334,"3,235"
freefqfree,"8,403",245,"2,241"
microsoftPowerToys,"56,468",269,"3,080"
coolsnowwolflede,"16,704",66,"14,315"
binhnguyennusawesomescalability,"33,502",936,"3,883"
trimstraythebookofsecretknowledge,"44,074",2144,"4,637"
bregmanariedevopsexercises,"9,594",941,"1,849"
rcmaehlWhyNotWin11,"1,547",1175,63
microsoftWebDevForBeginners,"27,181",1163,"3,711"
JetBrainskotlin,"37,103",302,"4,574"
rodrigorgticgameplaynlwtogether,257,84,135
florinpop17appideas,"42,278",434,"5,870"
geerlingguyinternetpi,764,437,39
dairaiMLYouTubeCourses,419,409,28
chiphuyenmlinterviewsbook,877,386,92
OpenXiangShanXiangShan,"1,192",545,87
labuladongfuckingalgorithm,"92,198",496,"17,958"
githubdocs,"4,618",103,"19,807"
diasurgicaldevilutionX,"4,230",182,446
curtinlvJDScript,473,65,172
rocketseateducationnlw06flutter,190,99,102
AllThingsSmittycssprotips,"18,285",293,"1,429"
ossucomputerscience,"89,356",674,"12,376"
